종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
제이에스티나,3390,135,4.1499999999999995,500,559,16504,2.44,710575,2.79,-36.2
패션플랫폼,2095,15,-0.71,100,558,26637,2.2,1863788,4.33,2.63
글로벌에스엠,1035,5,0.49,0,556,53744,3.62,814893,14.18,1.75
베셀,4845,40,-0.8200000000000001,500,556,11480,0.89,41890,-14.04,-5.25
제일테크노스,6170,300,-4.64,500,555,9000,3.2600000000000002,105799,-24.979999999999997,-5.99
스맥,1795,15,-0.8300000000000001,500,552,30735,2.48,214194,-1.95,-34.92
팬스타엔터프라이즈,975,48,5.18,500,550,56390,2.19,1694211,-13.729999999999999,-16.59
서울전자통신,790,2,0.25,500,550,69589,2.55,111511,-39.5,-3.3099999999999996
서진오토모티브,2810,95,3.5,500,549,19541,1.6900000000000002,188261,-10.33,-17.41
와토스코리아,7600,310,-3.92,500,547,7200,3.16,47517,26.95,1.97
슈프리마아이디,17900,0,0,500,547,3054,1.48,10965,19.23,2
다믈멀티미디어,4120,95,2.36,500,541,13141,0,277495,14.82,-4.99
인베니아,2325,25,-1.06,500,539,23200,2.14,247601,-11.229999999999999,-11.09
윈하이텍,5030,70,-1.37,500,536,10657,1.92,129325,-18.03,1.6
마이더스AI,379,9,2.4299999999999997,100,535,141227,0.16,669347,-4.08,-58.89
일지테크,3960,25,-0.63,500,535,13514,4.28,72629,-10.42,-11.16
형지I&C,1370,85,6.609999999999999,500,534,38956,1.74,354878,-11.51,-35.220000000000006
지나인제약,711,25,-3.4,500,532,74786,0.8300000000000001,25502850,-0.8300000000000001,-126.69
시티랩스,598,2,-0.32999999999999996,500,531,88761,2.07,586791,-9.49,-26.150000000000002
엑사이엔씨,1590,0,0,500,527,33174,2.29,417196,-4.06,-1.3800000000000001
세진티에스,6280,390,6.619999999999999,500,527,8397,2.48,569682,15.43,10.75
좋은사람들,1055,0,0,500,527,49908,4.07,0,-2.06,-30.150000000000002
자이글,3885,85,-2.14,500,526,13531,0.33999999999999997,24205,18.68,1.6700000000000002
동일기연,15000,200,1.35,500,525,3503,5.18,61669,8.32,1.53
부스타,6250,40,0.64,500,525,8405,5.76,44420,12.4,7.24
세원물산,6280,0,0,500,524,8350,2.46,0,2.07,9.28
디지캡,6080,70,1.1600000000000001,500,523,8607,2,88981,23.21,3.61
포메탈,4415,55,-1.23,500,523,11847,3.68,98029,38.06,3.9099999999999997
지티지웰니스,2995,60,2.04,500,522,17441,2.54,126769,-7.4,-135.68
아이디피,7860,100,-1.26,500,522,6637,0.49,16179,23.6,5.35
티피씨글로벌,4595,70,1.55,500,518,11277,0.32999999999999996,202333,13.129999999999999,3.82
신화콘텍,5070,100,-1.93,500,514,10144,1.1,1016671,21.57,2.34
자비스,2315,0,0,100,514,22182,8.04,103153,-6.119999999999999,-52.349999999999994
코디,1810,25,-1.36,500,512,28291,3.9499999999999997,265484,-9.05,-9.18
