종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
광명전기,2890,60,2.12,500,1252,43338,2.77,884757,37.05,4.67
인천도시가스,28600,100,-0.35,5000,1251,4375,1.79,5048,10.54,6.05
핸즈코퍼레이션,5710,240,-4.03,500,1248,21863,0.26,137589,-3.51,-2.52
NI스틸,4360,40,-0.91,500,1247,28600,3.18,68290,7.43,10.45
KC그린홀딩스,5550,10,-0.18,500,1245,22435,3.96,77689,-6.54,-22.99
STX,4630,0,0,2500,1244,26868,2.01,104010,-3.38,-48.03
대림B&Co,7450,100,-1.32,1000,1242,16672,3.09,45980,22.71,-1.06
TIGER 200선물인버스2X,2175,0,0,0,1240,57000,12.76,2917298,NA,NA
대구백화점,11350,150,1.34,5000,1228,10822,0.75,12203,-6.58,-6.63
한솔로지스틱스,4465,95,2.17,500,1227,27477,7.49,3105089,4.96,17.09
상상인증권,1255,40,3.29,1000,1218,97069,0.94,145626,16.51,1.54
KBSTAR Fn5G테크,10585,20,0.19,0,1212,11450,0.07,36750,NA,NA
서원,2550,155,-5.73,500,1211,47475,3.51,1453732,16.14,-5.38
현대코퍼레이션홀딩스,13300,0,0,5000,1210,9101,4.84,28666,6.07,9.98
가온전선,29000,200,0.69,5000,1206,4160,2.61,10203,19.81,3.65
한미글로벌,11000,100,-0.9,500,1205,10958,3.17,42270,9.59,7.84
삼일제약,8880,130,-1.44,500,1202,13537,2.76,134172,-88.8,2.13
까뮤이앤씨,2650,35,1.34,500,1197,45152,0.92,1069808,101.92,11.98
동양피스톤,9080,220,-2.37,500,1196,13168,0.79,701807,67.76,-7.29
써니전자,3410,40,-1.16,500,1188,34845,3.07,334538,23.04,9.92
큐로,511,1,0.2,500,1181,231212,1.52,489560,NA,1.34
무림페이퍼,2830,20,0.71,2500,1178,41609,4,85964,-2.52,-9.21
웰바이오텍,2005,30,-1.47,500,1176,58677,0.86,445597,-2,-141.53
비상교육,9040,20,-0.22,500,1175,12997,8.74,79381,18.91,-7.24
TIGER 200선물레버리지,19220,5,-0.03,0,1172,6100,9.99,1413696,NA,NA
KTcs,2740,20,0.74,500,1170,42685,9.6,140408,7.04,6.64
조흥,194500,500,-0.26,5000,1167,600,0,57,7.09,5.72
KODEX 차이나CSI300,14230,5,-0.04,0,1167,8200,0,101678,NA,NA
콤텍시스템,962,1,0.1,500,1165,121051,1.08,920861,-320.67,NA
동일고무벨트,8370,0,0,500,1163,13900,2.61,15531,51.99,3.7
새론오토모티브,6050,10,0.17,500,1162,19200,67.61,9295,7.74,2.86
HANARO e커머스,18650,125,0.67,0,1156,6200,0.04,59677,NA,NA
KODEX 한국대만IT프리미어,19910,80,-0.4,0,1155,5800,0.01,6009,NA,NA
형지엘리트,3705,315,9.29,500,1154,31155,0.82,2394123,36.32,-2.02
대우부품,2420,30,1.26,500,1153,47646,1.89,223923,-55,-10.09
한신기계,3550,15,-0.42,500,1152,32446,4.4,871785,31.98,4.24
유니켐,1675,20,-1.18,500,1151,68710,2.82,884654,10.15,12.01
